@relation arabicText

@attribute arabicclass {Dialect,MSA}
@attribute text String

@data
Dialect,'الدول المتقدمة الان تتجه لستخدام الطاقة المتجدده لانها اقل كلفة وليس لها مخاطر على البيئة والانسان ونحن الان نعاني من ضائقة مالية كبيرة وشحة مياه شديدة وكلنا يعلم مدى حاجة المفاعل للمياه اذكركم فقط بما حدث في اليابان وهي الدولة الاكثر تطور في مجال التكنولوجيا وهي عبارة عن جزر وكذلك كم أثر علينا المفاعل النووي الاسرائيلي وحالات السرطان المنتشرة ولو لاحظنا التشوهات الخلقية الاكثر في جنوب البلاد'
MSA,'الدول المتقدمة الآن تتجه لإستخدام الطاقة المتجددة لإنها أقل كلفة و ليس لها مخاطر على البيئة و الإنسان و نحن نعاني الآن من ضائقة مالية كبيرة و شحة مياه شديدة و كلنا يعلم مدى حاجة المفاعل للمياه اذكركم فقط بما حدث في اليابان و هي الدولة الأكثر تطوراً في مجال التكنولوجيا و هي عبارة عن مجموعة جزر و كذلك كم أثر علينا المفاعل النووي الإسرائيلي و حالات السرطان المنتشرة ولو لاحظنا التشوهات الخلقية الاكثر في جنوب البلاد'
Dialect,'الله يدمر كل مفاعل نووي'
MSA,'دمر الله كل مفاعل نووي'
Dialect,'احنا ما بدنا اياه لانا ما منفهم المفاعل النووي فوق طاقتنا صعب علينا و بكرة بذكركم و سألوا الباص السريع الثقة معدومة ... القمح فاسد المصفاه مش حسب المواصفات الخضار والفواكه مواد كيماوية شوارع مش مصانة حفر ومطبات ....الخ الافضل استغلال الطاقة الشمسية او الريح او الماء.. ليس هروب من التطور وانما الابتعاد عن الفشل الأكيد عبر التجارب .'
MSA,'نحن لا نريده لإننا لا نفهم المفاعل النووي فوق طاقتنا صعب علينا و سأذكركم غداً إسألوا عن مشروع الباص السريع الثقة معدومة ... القمح فاسد المصفاه ليست حسب المواصفات الخضار و الفواكه مواد كيميائية شوارع غير مصانة حفر و مطبات ....الخ الافضل استغلال الطاقة الشمسية او الريح او الماء .. ليس هروب من التطور و انما الابتعاد عن الفشل الأكيد عبر التجارب .'
Dialect,'اذا الخبر صحيح انا اول شخص بطالب بالهجرة لاي دولة خليجية او اوروبية او حتى اسرائيل'
MSA,'إذا كان الخبر صحيح فأنا اول شخص أطالب بالهجرة إلى أي دولة خليجية أو أوروبية أو حتى إسرائيل'
Dialect,'لا يوجد كفائات بالأردن قادرة على ادارة هكذا مشروع, أنو تقدم و أنو ازدهار! العالم كلو ببعد عن النووي الا طوقان, شوفو اليابان الكارثة الصارت فيها لو اتصير بالأردن البلد رايحا تتدمر و جيرانها كمان, وهسا متأكد 100 فلسفجي راح يجي يحكيلي عن كفائات البلد, دخيلكو وينها اذا شوارع ما ابنعرف نبني راح يبنو مفاعل!!!!!!!!'
MSA,'لا يوجد كفاءات في الأردن قادرة على إدارة هكذا مشروع , بحجة التقدم و الإزدهار! العالم بأكمله يبتعد عن النووي الا طوقان , إنظروا إلى اليابان و الكارثة التي حدثت فيها لو أنها حدثت في الأردن فلسوف تتدمر البلد  و جيرانها أيضا , و الآن أنا متأكد 100 متفلسف سوف يأتي ليحدثني عن كفائات البلد , بالله عليكم أين هي هذه الكفاءات اذا كنا لا نعرف كيف نبني شوارع فكيف لنا أن نبني مفاعل !!!!!!!!'
Dialect,'لنفترض جدلا ان لا اضرار صحية و بيئية سينتج عن بناء مفاعلات نووية سلمية ، دعونا نفكر في الكلفة من حيث اولا: كلفة بناء عالية جدا لعدم امتلاكنا لهذه التكنولوجيا على شكل ديون تثفل كاهل العشر اجيال القادمة، ثانيا: لنفس السبب سنستورد خبراء للتشغيل لسنوات طويلة مما يزيد كلفة الطاقة وليس العكس ناهيك عن حصول اي اخطاء مفترضة مستقبلا ثالثا: اين هو المكان البعيد عن المدن في الاردن واين مصدر المياه الكافية للتبريد رابعا:من حق المواطنين واصحاب القرار الحصول على تقرير منشور للاثر البيئي مسبقا. بنفس الوقت نستطيع الحصول على نفس كمية الطاقة من الصخر الزيتي الذي نمتلك منه احتياطي هائل ومن الغاز الطبيعي المؤمل مستقبلا ومن الطاقة الشمسية ومن طاقة الرياح بكلف نسبيا اقل بكثير من النووي دون اعباء ديون اضافية.'
MSA,'لنفرض جدلا ان لا اضرار صحية و بيئية سوف تنتج عن بناء مفاعلات نووية سلمية ، دعونا نفكر في الكلفة من حيث أولاً: كلفة بناء عالية جدا لعدم إمتلاكنا لهذه التكنولوجيا على شكل ديون تثفل كاهل العشرة أجيال القادمة، ثانيا: لنفس السبب سوف نستورد خبراء للتشغيل لسنوات طويلة مما يزيد كلفة الطاقة و ليس العكس ناهيك عن حصول اي اخطاء مفترضة مستقبلا ثالثا: اين هو المكان البعيد عن المدن في الاردن واين مصدر المياه الكافي للتبريد رابعا: من حق المواطنين و اصحاب القرار الحصول على تقرير منشور للاثر البيئي مسبقا. في نفس الوقت نستطيع الحصول على نفس كمية الطاقة من الصخر الزيتي الذي نمتلك منه احتياطي هائل و من الغاز الطبيعي المؤمل مستقبلا و من الطاقة الشمسية و من طاقة الرياح بتكلفة أقل نسبيا بكثير من النووي دون اعباء ديون إضافية.'
Dialect,'الحمدلله في خضم تفوق امريكا بمجال الطاقة النووية وسعيها للتخلص من نفط العرب , واستخدامها الطاقة النووية في الفضاء : نحن نجمع التواقيع لرفضها :))'
MSA,'الحمد لله في خضم تفوق أمريكا بمجال الطاقة النووية و سعيها للتخلص من نفط العرب , و استخدامها الطاقة النووية في الفضاء : نحن نجمع التواقيع لرفضها :))'
Dialect,'احنا ما بدنا اياه لانا ما منفهم المفاعل النووي فوق طاقتنا صعب علينا و بكرة بذكركم و سألوا الباص السريع الثقة معدومة... القمح فاسد المصفاه مش حسب المواصفات الخضار والفواكه مواد كيماوية شوارع مش مصانة حفر ومطبات ....الخ الافضل استغلال الطاقة الشمسية او الريح او الماء.. ليس هروب من التطور وانما الابتعاد عن الفشل الأكيد عبر التجارب .'
MSA,'نحن لا نريده لإننا لا نفهم المفاعل النووي فوق طاقتنا صعب علينا و سأذكركم غداً إسألوا عن مشروع الباص السريع الثقة معدومة ... القمح فاسد المصفاه ليست حسب المواصفات الخضار و الفواكه مواد كيميائية شوارع غير مصانة حفر و مطبات ....الخ الافضل استغلال الطاقة الشمسية او الريح او الماء .. ليس هروب من التطور و انما الابتعاد عن الفشل الأكيد عبر التجارب .'
Dialect,'امريكا دولة كافرة :('
MSA,'أمريكا دولة كافرة :('
Dialect,'اذا اليابان اكلت هوا من النووي كيف احنا'
MSA,'اذا كانت اليابان قد عانت من النووي فكيف سيكون حالنا'
Dialect,'الاردن فيه طاقة شمسية بتغنينا عن استخدام المفاعلات ،،، تخيلو معي الطريق بين عمان و العقبة كلها ارض فاضية و صحرا منقدر نستغلها في بناء خلايا شمسية ،،،، احنا مش ضد انا نتطور و لكن الدول المتطورة عم بتخلو عن الطاقة النووية اللي رافقها مشاكل صحية و بيئية عديدة و عم بسبتدلوها بالطاقة المتجددة ،،، طاقة نظيفة و غير مكلفة'
MSA,'يوجد في الأردن طاقة شمسية تغنينا عن إستخدام المفاعلات ،،، تخيلوا معي الطريق بين عمان و العقبة بأكملها أرض خالية و صحراء نستطيع إستغلالها في بناء خلايا شمسية ،،،، نحن لسنا ضد انا نتطور و لكن الدول المتطورة تخلت عن الطاقة النووية وما رافقها من مشاكل صحية و بيئية عديدة و قاموا بإسبتدالها بالطاقة المتجددة ،،، طاقة نظيفة و غير مكلفة'
Dialect,'انا مش مسؤول عن الحرامية يتفنجرو بمصاري البلد و انا اشحد'
MSA,'انا لست مسؤولاً عن اللصوص يتباهوا بأموال البلد و انا أشحذ'
Dialect,'في خطبه وحده رفض شيخ إخواني النووي الاردني ، و مدح النووي الايراني'
MSA,'في خطبة واحدة رفض شيخ إخواني النووي الأردني ، و مدح النووي الإيراني'
Dialect,'الرفض القاطع للمشروع لانه بس يتم و يشتغل تمام رايح ينباع او يتم تاجيره و نصير نشتري وقود مخصب ويصير اغلى من الكهربا لانه للاسف ما فيه شي بعيد عن ايدي المفسدين و الاستغلاليين او يصير زي مشروع تسمين البقر ؛ينتجو الطاقه وتروح لاطراف خارجيهخالرج اطار حاجة العامه'
MSA,'الرفض القاطع للمشروع لانه في حال إتمامه و تشغيله سوف يباع او يتم تأجيره و ولسوف نشتري وقوداً مخصب و يصير اغلى من الكهرباء لانه للأسف لا شيء بعيد عن أيدي المفسدين و الاستغلاليين او يصبح مثل مشروع تسمين البقر ؛ لينتجوا الطاقه و تذهب لأطراف خارجية خارج إطار الحاجة العامة'
Dialect,'والله احنا مو ناقصنا وجع قلب ... بس ضايل علينا النووي .... و صحة البشر مش برضو خطية المسؤولين ... و ﻻ خلص ما عاد في شي فارق !!!! والله عحب'
MSA,'و الله نحن لسنا بحاجة لما يوجع القلب ... ما لنا بالنووي .... و صحة البشر اليست أيضا أمانة برقاب المسؤولين ... و ﻻ خلص ما عاد في شي فارق !!!! والله عحب'
Dialect,'ليش ما نتعلم من الي صار في اليابان، وروسيا، ألمانيا ألغت نظرتها في بناء مفاعلات نووية واستخدام الطاقة البديلة.'
MSA,'لما لا نتعلم من الذي حدث في اليابان، وروسيا، ألمانيا ألغت نظرتها في بناء مفاعلات نووية و استخدام الطاقة البديلة.'
Dialect,'الاردن لا تمتلك اي الخبرات الفنيه في انشاء او صيانة او تشغيل المفاعلات النوويه ! لاردن ليس لديها سوى شهادات دكتوراة في هذا المجال نظرية بحته ! ان انشاء مفاعل نووي يعنى مقامرة كامله بمئات الملاييين و المضحك في الموضوع ان بداية المشروع ستكون انشاء مفاعل تجريبي او تعليمي يتبع لهيئة الطاقة النوويه ! اليس الاجدر بهكذا مفاعل ان يتبع لاحدى الجامعات ؟ علاوة على ان كل هيئة الطاقة تم انشأها رضوة لفلان وعلنتان ! الاولي يا سادة ان يتم طرح انشاء شركة للتنقيب عن اليورانيوم وبيعه و لتصبح الاردن دولة مصدرة لهذه المادة . امر اخر كثر الحديث مؤخرا عن انه يوجد في الاردن بترول و بكميات على الاقل تكفي استهلكنا المحلي !!'
MSA,'الاردن لا يمتلك الخبرات الفنيه لإنشاء أو صيانة أو تشغيل المفاعلات النووية ! الأردن ليس لديه سوى شهادات دكتوراة في هذا المجال نظرية بحته ! إن إنشاء مفاعل نووي يعنى مقامرة كاملة بمئات الملاييين و المضحك في الموضوع أن بداية المشروع ستكون إنشاء مفاعل تجريبي أو تعليمي يتبع لهيئة الطاقة النووية ! اليس الأجدر بهكذا مفاعل أن يتبع لإحدى الجامعات ؟ علاوة على أن كل هيئة الطاقة تم إنشاؤها مراضاة لفلان وعلتان ! الأولي يا سادة أن يتم طرح إنشاء شركة للتنقيب عن اليورانيوم وبيعه و لتصبح الأردن دولة مصدرة لهذه المادة . أمر آخر كثر الحديث مؤخراً عن أنه يوجد في الاردن بترول و بكميات على الاقل تكفي استهلاكنا المحلي !!'
Dialect,'بالله تسكتوا خلينا بحالنا بدناش مشاكل ايه'
MSA,'بالله فلتصمتوا دعونا وشأننا لا نريد مشاكل'
Dialect,'من وين انجيب حرام عليكم'
MSA,'من أين لنا حرام عليكم'
Dialect,'يا ترى الحكومه بدها تزيد دعم المواطن الي الله يكون في عونه'
MSA,'يا ترى هل تزيد الحكومه من دعم المواطن كان الله في عونه'
Dialect,'الانكسار من اسوء الاشياء11'
MSA,'الإنكسار من أسوأ الأشياء11'
Dialect,'هههههههههههههههههههههههههههههه ... لا نووي ولا صوبة بواري ... كالعاده نصبه جديده'
MSA,'هههههههههههههههههههههههههههههه ... لا نووي ولا مدفأة ... كما العادة نصبة جديدة'
Dialect,'فعلا الطاقة الشمسية هي البديل وليست النووية لان حتى الدول المتقدمة صارت تتخلص من النووي وتتجة للطاقة البديلة وخصوصا احنا الاردن بلد مشمس عالطول السنة والكلفة ما اتوقع اكثر من الطاقة النووية'
MSA,'فعلا الطاقة الشمسية هي البديل و ليست النووية  حتى الدول المتقدمة أصبحت تتخلص من النووي و تتجة للطاقة البديلة و خصوصا أن الأردن بلد مشمس طوال العام و الكلفة لا أتوقع أن تكون أكثر من كلفة الطاقة النووية'
Dialect,'البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية ولكن الأردن لا يمتلك موارد مالية وهذا يعني الحاجة لشريك أجنبي كما اعلنت هيئة الطاقة يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل'
MSA,'للأسف يعتقد البعض ان المفاعل النووي سوف يحل مشاكلنا الإقتصادية و لكن الأردن لا يمتلك موارد مالية و هذا يعني الحاجة لشريك أجنبي كما أعلنت هيئة الطاقة يملك غالبية الأسهم كما في تركيا على سبيل المثال و ذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل و لن يكون ملك للأردن و بالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر و بالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل'
Dialect,'ولكن كيف ان المفاعل النووي غير مضر بالبيئة فهمني ؟؟'
MSA,'كيف يكون المفاعل النووي غير مضر بالبيئة أفهمني ؟؟'
Dialect,'خمسة مليون يوقعوا علي رفض المفاعل لانة سوف يدمر الاردن لان التقدم ياتي من خلال عدم النهب للمال العام يعني يجب وقف النهب وهذا مشروع فاشل من يومة'
MSA,'على خمسة مليون أن يوقعوا على رفض المفاعل لإنه سوف يدمر الأردن و لأن التقدم ياتي من خلال عدم نهب للمال العام يعني يجب وقف النهب وهذا مشروع فاشل من يومه'
Dialect,' وانا مع انو الطاقة الشمسية هي البديل!'
MSA,' وانا مع أن الطاقة الشمسية هي البديل!'
Dialect,'مش النووي (ان صار وما اظنش اسرائيل تسمح باقامته بهالسهولة) هو اللي بيعني انو احنا متطورين او متقدمين!'
MSA,'ليس النووي (إن صار ولا أظن بأن إسرائيل ستسمح بإقامته بهذه السهولة) هو الدليل على اننا متطورين أو متقدمين!'
Dialect,'وبالمناسبة، اذا على مصادر الطاقة، فالاردن غني بالزيت الصخري، وفش داعي لمصايب جديدة ع البشر والبيئة!'
MSA,'وبالمناسبة، إذا كان الأمر متعلق بمصادر الطاقة، فالأردن غني بالزيت الصخري، ولا داعي لمصائب جديدة على البشر والبيئة!'
Dialect,'للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية ولكن الأردن لا يمتلك موارد مالية وهذا يعني الحاجة لشريك أجنبي كما اعلنت هيئة الطاقة يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل'
MSA,'للأسف يعتقد البعض ان المفاعل النووي سوف يحل مشاكلنا الإقتصادية و لكن الأردن لا يمتلك موارد مالية و هذا يعني الحاجة لشريك أجنبي كما أعلنت هيئة الطاقة يملك غالبية الأسهم كما في تركيا على سبيل المثال و ذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل و لن يكون ملك للأردن و بالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر و بالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل'
Dialect,'نهايه مواطن طفران'
MSA,'نهاية مواطن طفران'
Dialect,'سيد شوكت بحب احكيلك انو حنضل نشحد بسبب المفاعل للأسف البعض يعتقد ان المفاعل النووي سيحل مشاكلنا الاقتصادية ولكن الأردن لا يمتلك موارد مالية وهذا يعني الحاجة لشريك أجنبي يملك غالبية الأسهم كما في تركيا على سبيل المثال وذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل ولن يكون ملك للأردن وبالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر وبالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل'
MSA,'سيد شوكت أحب أن أقول لك اننا سنبقى نشحذ بسبب المفاعل للأسف يعتقد البعض ان المفاعل النووي سوف يحل مشاكلنا الإقتصادية و لكن الأردن لا يمتلك موارد مالية و هذا يعني الحاجة لشريك أجنبي كما أعلنت هيئة الطاقة يملك غالبية الأسهم كما في تركيا على سبيل المثال و ذلك يعني ان هذا الشريك سيمتلك الجزء الأكبر من المفاعل و لن يكون ملك للأردن و بالتالي ستقوم الحكومة ايضاً بدفع تكاليف الكهرباء للمستثمر و بالتالي المفاعل النووي لن يوفر لك الكهرباء بسعر قليل'
Dialect,'يلي مكتوب على الجبين بتشوفوا العين ( يعني اذا ناوين على النووي ما راح يفيد المليون توقيع مو الف توقيع مع الاحترام الشديد)'
MSA,'المكتوب على الجبين تراه العين ( يعني اذا نويتم على النووي لن يفيد المليون توقيع وليس الف توقيع مع الإحترام الشديد)'
Dialect,'والله انك ما زلية يا شيخ اكيد مدفوعله من تحت ل تحت'
MSA,'والله انك ما زليت يا شيخ بالتأكيد مدفوع له من تحت لتحت'
Dialect,'هات ناس تفهم .. والمثل بحكي اسأل مجرب ولا تسأل خبيير'
MSA,'لن يعي الناس ذلك .. يقول المثل  إسأل مجرب و لا تسأل خبير'
Dialect,'ههههههههههههههههههههه مهيه خربانه ان شاء الله يعملو مفاعل قرد بطلت تفرق'
MSA,'ههههههههههههههههههههه هي خربانة حتى لو عملوا مفاعل قرد لم تعد تفرق'
Dialect,'يا امة ضحكت من جهلها الامم'
MSA,'يا أمة ضحكت من جهلها الأمم'
Dialect,'كلاب بتعوي'
MSA,'كلاب تنبح'
Dialect,'وقعنا ولا ما وقعنا يللي بدهم يعملوه بيعملوه'
MSA,'قمنا أم لم نقم بالتوقيع سوف يصنعوا ما يريدون'
Dialect,'مارح يتغير شي بعد 50 سنه رح نلاقي بالجرايد خالد النووي يطالب ابراهيم النووي بتأجيل مشروع المفاعل النووي لان في مشاريع اهم زي مياه سفيان الديسي وخط ابو يوسف للباص السريع ... عادي'
MSA,'لن يتغير شيء بعد 50 سنة سوف نجد بالجرائد خالد النووي يطالب إبراهيم النووي بتأجيل مشروع المفاعل النووي لأن هناك مشاريع أهم مثل مياه سفيان الديسي وخط أبو يوسف للباص السريع ... عادي'
Dialect,'كل واحد حرامي  و ما بهمو مصلحة المسكين المواطن الي بشتغل 14ساعة ب  6 دنانير'
MSA,'كل شخص لص  و لا يهمه مصلحة المواطن المسكين الذي يعمل 14ساعة ب 6 دنانير'
Dialect,' من اجل هذا تم قدوم ٢٠ الف من الجيش الامريكي'
MSA,' من اجل هذا قدم ٢٠ الف من الجيش الأمريكي'
Dialect,'كلو حكي فاضي'
MSA,'هذا هراء'
Dialect,'يا غبي كوادر الإخوان المسلمين في كل يقعة من هالأرض ,, وهمه من الشعب ,,, كيف بدهم يضربوا أرضهم ,,, إصحى !!'
MSA,'يا غبي كوادر الإخوان المسلمين في كل بقعة من هذه الأرض ,, وهم من الشعب ,,, كيف يريدوا أن يضربوا أرضهم ,,, إصحى !!'
Dialect,'اخبار مسخرة.....!!!!'
MSA,'أخبار سخيفة.....!!!!'
Dialect,'لا بقلو بيضه حكي فارط .. احنا الاردنيه ما حد بيطلع معنا براس ..'
MSA,'ليس بيدهم شيء هذا هراء .. نحن الاردنيون لن يقدر علينا أحد ..'
Dialect,'كلو حكي فاضي'
MSA,'هذا هراء'
Dialect,' اننا نعيش في زمن بلا رحمه'
MSA,' اننا نعيش في زمن بلا رحمة'
Dialect,' اشي بقهر مش لا هل درجه'
MSA,'شيء يقهر ليس لهذه الدرجة'
Dialect,' بعين الله يا امال كلهن ستين سبعين سنه وبمضن وبتهون'
MSA,' يعين الله يا آمال كلهم ستون أو سبعون سنة يمضين وتهون'
Dialect,' ههههههه والله صدقتي همة اصعب شئ الستين سنة الاوليات'
MSA,' ههههههه والله صدقت أصعب شئ الستين سنة الأوليات'
Dialect,'منك لله و بس'
MSA,'منك لله فقط'
Dialect,'مت عليهم حيطه هالانذال اصحاب الاجندات الخاصه الخارجيه العميله'
MSA,'مال عليهم حائط هؤلاء الأنذال أصحاب الأجندات الخاصة الخارجية العميلة'
Dialect,'هيك بدهم الخونه اتباع ايران (الاخوان المفسدون).'
MSA,'هذا ما يريده  الخونه أتباع إيران (الإخوان المفسدون).'
Dialect,'الله لا يعطي العافيه ولا الصحه للاخوان المفلسين , الله لا يوفقهم ولا يجمعهم الاخونجيه هم وعيالهم على صحن طبيخ , الله يجعل السرطان يمشي بجسم الاخوان المفلسين مطايا وكلاب الفرس'
MSA,'الله لا يعطي العافية ولا الصحة للإخوان المفلسين , الله لا يوفقهم ولا يجمعهم الإخونجية هم وعيالهم على صحن طبيخ , الله يجعل السرطان يمشي بجسم الاخوان المفلسين مطايا وكلاب الفرس'
Dialect,'والله حرق لاخوات الكلب'
MSA,'والله حرق لإخوان الكلب'
Dialect,'·          رائع والله اصبت القول الاسف لاكن مافي أي حدآ بيستحمل الانتقآد ؟؟'
MSA,'·          رائع والله أصبت القول ، للأسف لا أحد يتحمل الإنتقاد ؟؟'
Dialect,' بسعد ربك وصباحك عسل انت وكل من قال انا اردني وبحب القياده الهاشميه وتراب الاردن وسنح الاخوان ولاد كلب على هالصبح'
MSA,'أسعدك الله وصباحك عسل أنت وجميع من قال أنا أردني وبحب القيادة الهاشمية وتراب الأردن وتباً للإخوان أولاد كلب على هذا الصباح'
Dialect,' حكي فاضي'
MSA,'هراء'
Dialect,'هههههههه ولكو ما إحنا ميتين من دون هالوسطه'
MSA,'هههههههه نحن ميتون لا محالة'
Dialect,'الله يكون في عون الفقير و الطبقه المتوسط سوف تنحدر اكثر و اكثر'
MSA,'كان الله في عون الفقير و الطبقة المتوسطة سوف تنحدر أكثر و أكثر'
Dialect,' وعرض اختي انك لاسع ياادمن عساس لو بدها تضرب من هسة خايفة منك'
MSA,'بشرفي أنك لاسع يا مشرف على أساس لو أنها سوف تضرب من الآن خائفة منك'
Dialect,' تخسا هما وكل واحد بشد عأيدهم مشكلتو شعب سوري يدعون البراءه وهم في قمة النذاله'
MSA,'خسئوا هم وكل واحد يؤيدهم مشكلة الشعب السوري يدعوي البراءة وهو في قمة النذالة'
Dialect,' المعنى الحقيقي لعاااهاتك يا وطن'
MSA,' المعنى الحقيقي لعاهاتك يا وطن'
Dialect,' مين بشار العاهة هاد الي بهدد، اي عند الجد والله للنساء والبنات تتطلعن قبل الرجال في هالحالة ونلعن ابو الساعة اللي طلعت بشار وغيره شو هالحكي، الاردن قوي بجيشة وقائده فعلاا هززلت قال سوريا قال ولا النعامة او رقبة عالية بدهها قص'
MSA,'من هو بشار العاهة هذا الذي يهدد، أي عند الجد والله لتخرجن النساء والبنات قبل الرجال في هذه الحالة ونلعن الوقت الذي ظهر فيه بشار وغيره ما هذا الكلام، الأردن قوي بجيشه وقائده فعلاً هزلت قال سوريا قال ولا النعامة أبو رقبة عالية ليزمها قص'
Dialect,' انشالله انو يطلع كلام فاضي لانو اذا ضربت سوريا الاردن رح اتصير حرب عالمية ثالثة وما رح اتخلص غير لما نتخزق'
MSA,'إن شاء الله يكون هذا الكلام غير صحيح لإنه إذا ضربت سوريا الأردن صوف تصير حرب عالمية ثالثة ولن تنتهي قبل أن نعاني'
Dialect,'يا غبي كوادر الإخوان المسلمين في كل يقعة من هالأرض ,, وهمه من الشعب ,,, كيف بدهم يضربوا أرضهم ,,, إصحى !!'
MSA,'يا غبي كوادر الإخوان المسلمين في كل بقعة من هذه الأرض ,, وهم من الشعب ,,, كيف يريدوا ضرب أرضهم ,,, إصحى !!'
Dialect,'لى جماعه الاخوان الخسيسة كيف بدكو الوطن يتصلح وانتو قسمتوه لفريقيين كل واحد منكم اخدنا لمطرح ومش عارفين واصليين لوين'
MSA,'إلى جماعة الإخوان الخسيسة كيف تريدون الوطن ينصلح وأنتم قسمتوه لفريقين كل واحد منكم أخدنا لمطرح ولسنا عارفين إلى أين ترمون'
Dialect,'الا لعنة الله على الشيعة الى يوم الدين'
MSA,'الا لعنة الله على الشيعة إلى يوم الدين'
Dialect,'خسئو وخسئ امثالهم ومن طاوعهم'
MSA,'خسئوا وخسئ أمثالهم ومن طاوعهم'
Dialect,'فانا اناشد الحكومة الاردنية بألافراج عن اسرى السلفيين التوحيدين الموجودين في سجونهم'
MSA,'أنا أناشد الحكومة الأردنية بالإفراج عن أسرى السلفيين التوحيدين الموجودين في سجونهم'
Dialect,'اللهم انا نشكو اليك ضعف قوتنا و قلة حيلتنا حسبنا الله و نعم الوكيل'
MSA,'اللهم إنا نشكوا اليك ضعف قوتنا و قلة حيلتنا حسبنا الله و نعم الوكيل'
Dialect,'وذلك ليذوقوا ايران وسوريا وشيعتهم وبال امرهم'
MSA,'وذلك ليذوقوا إيران وسوريا وشيعتهم وبال أمرهم'
Dialect,'ويحطمو رؤوسهم بارجلهم'
MSA,'ويحطموا رؤوسهم بارجلهم'
Dialect,'فهم ادرى واخبر لا وبل اكثر انكارا للشيعة  وامثالهم'
MSA,'فهم أدرى وأخبر لا وبل أكثر انكاراً للشيعة  وأمثالهم'
Dialect,'حفظ الله وطننا من ايدي المنافقين المتأردنين'
MSA,'حفظ الله وطننا من أيدي المنافقين المتأردنين'
Dialect,'ومن خسئ الشيعة اخوان القردة و الخنازير'
MSA,'ومن خسئ الشيعة إخوان القردة و الخنازير'
Dialect,'وادم علينا يارب نعمة الامن والامان وسائر بلاد المسلمين'
MSA,'وأدم علينا يارب نعمة الأمن والأمان وسائر بلاد المسلمين'
Dialect,' لو يطلع عليهم 10 من مخيم اربد و 10 من مخيم الحصن و 20 من مخيم الزرقا و 30 من مخيم عمان و 20 من مخيم البلقاء و 20 من مخيم الشهيد عزمي المفتي بفضحو عرضاتهم كلهم'
MSA,'لو يخرج عليهم 10 من مخيم إربد و 10 من مخيم الحصن و 20 من مخيم الزرقاء و 30 من مخيم عمان و 20 من مخيم البلقاء و 20 من مخيم الشهيد عزمي المفتي يؤدبوهم كلهم'
Dialect,'فشرت عين الشيعة والله بنحرقهم حر'
MSA,'خسئت أعين الشيعة والله نحرقهم حرقاً'
Dialect,'الله حيك شيخ ابراهيم بالفعل حكم يا نشمي'
MSA,'حياك الله يا شيخ إبراهيم بالفعل حكيم يا نشمي'
Dialect,' الله الله ياشيخ ابراهيم ..حكم والله يسعد مساااااااك يارب'
MSA,'الله الله ياشيخ إبراهيم ..حكيم أسعد الله مساك يارب'
Dialect,'حسبنا الله و نعم الوكيل فيكوا'
MSA,'حسبنا الله و نعم الوكيل فيكم'
Dialect,'انا شوفت وقاحه بس زاي وقاحة الاخوان ما شوفت.'
MSA,'أنا رأيت وقاحة لكن مثل وقاحة الإخوان لم أرى.'
Dialect,' كافر ملعون جهنم باذن اللة'
MSA,' كافر ملعون جهنم بإذن الله'
Dialect,'ههههههههههههه شكلو عمرو ماشاف كاميرا تصورو'
MSA,'ههههههههههههه الظاهر أن عمرو لم يرى آلة تصوير تخيلوا'
Dialect,'ههههههههههههههههههههههههههههههههههه بكفي القعدة تبعته'
MSA,'ههههههههههههههههههههههههههههههههههه تكفي جلسته'
Dialect,'الراجل الابس ثوب عليه جاكيت شكله مسطول من جنوب السودان'
MSA,'الرجل يلبس ثوب عليه معطف يبدو مسطول من جنوب السودان'
Dialect,'والله ذا الادمي معاق'
MSA,'والله هذا الآدمي غبي'
Dialect,'اخرسي صحيح ما تفهمي'
MSA,'إخرسي صحيح أنك بلا فهم'
Dialect,'قلة ادب'
MSA,'قلة أدب'
Dialect,'صحح الخبر . مش تحرير المشتقات النفطية و إنما توليعها'
MSA,'صحح الخبر . ليس تحرير المشتقات النفطية و إنما إشعالها'
Dialect,'بارد ومصقع'
MSA,'ثقيل الظل'
